N-gram Threshold,Levenshtein Threshold,Precision,Recall
0.5,0.5,0.70578,0.617966
0.5,0.6,0.876694,0.341665
0.5,0.7,0.966586,0.256293
0.5,0.8,0.983545,0.206918
0.5,0.9,0.981159,0.158892
0.6,0.5,0.701937,0.42428
0.6,0.6,0.880432,0.327495
0.6,0.7,0.967228,0.254562
0.6,0.8,0.983545,0.206918
0.6,0.9,0.981159,0.158892
0.7,0.5,0.789375,0.283342
0.7,0.6,0.897924,0.276653
0.7,0.7,0.969522,0.251041
0.7,0.8,0.983536,0.2068
0.7,0.9,0.981159,0.158892
0.8,0.5,0.9353,0.221381
0.8,0.6,0.954528,0.221088
0.8,0.7,0.966873,0.215778
0.8,0.8,0.98307,0.201021
0.8,0.9,0.981159,0.158892
0.9,0.5,0.9662,0.145925
0.9,0.6,0.9662,0.145925
0.9,0.7,0.972436,0.144898
0.9,0.8,0.978825,0.143754
0.9,0.9,0.977678,0.133633
