N-gram Threshold,Levenshtein Threshold,Precision,Recall
0.5,0.5,0.778497,0.335006
0.5,0.6,0.900936,0.307898
0.5,0.7,0.969058,0.253594
0.5,0.8,0.983545,0.206918
0.5,0.9,0.981159,0.158892
0.6,0.5,0.90812,0.261838
0.6,0.6,0.951026,0.259784
0.6,0.7,0.970292,0.246259
0.6,0.8,0.983545,0.206918
0.6,0.9,0.981159,0.158892
0.7,0.5,0.954132,0.215426
0.7,0.6,0.966812,0.215367
0.7,0.7,0.976347,0.213137
0.7,0.8,0.984757,0.204688
0.7,0.9,0.981159,0.158892
0.8,0.5,0.974202,0.177258
0.8,0.6,0.974202,0.177258
0.8,0.7,0.976899,0.176172
0.8,0.8,0.982161,0.174441
0.8,0.9,0.981159,0.158892
0.9,0.5,0.976694,0.119257
0.9,0.6,0.976694,0.119257
0.9,0.7,0.976638,0.118964
0.9,0.8,0.976638,0.118964
0.9,0.9,0.976366,0.116353
