Smart Contract Address,True Positive
0xd6bc92a0f5a2bc17207283679c5ddcc108fd3710,TRUE
0x24cad91c063686c49f2ef26a24bf80329fb131c7,TRUE
0xb6f6f6f47e92e517876d30c04198f45a3bc1b281,TRUE
0xc6389ef3d79cf17a5d103bd0f06f83cf76b14258,TRUE
0xed4fd2e53153b8bfd866e11fb015a1bc4a0e9655,FALSE
0xaa3a6f5bddd02a08c8651f7e285e2bec33ea5e53,TRUE
0xb5aff01f3e820735fac9abb594dc9993cb9e5bd2,FALSE
0x57684f9059afbf7bb11b07263500292ac9d78e7b,TRUE
0x1efd5dc066eb56d4db7e2ff38843c8bf8aa59168,FALSE
0xe830d955cbe549d9bcf55e3960b86ffac6ef83f1,TRUE
0x0cfa149c0a843e1f8d9bc5c6e6bebf901845cebe,TRUE
0x735906d7ab237eeea06f4af86795bb4e0ec199e0,TRUE
0xa630823bd70ab8e8e2d6e62089d3837db1887bf6,TRUE
0x377f64e05c29309c8527022dbe5fbbfa8e40f6dd,TRUE
0x286bbee3f20f1702e707e58d33dc28a69e7efd4e,FALSE
0x2e0794073ec7b08e40d80a41599bb31df042e4e5,TRUE
0xd8993f49f372bb014fb088eabec95cfdc795cbf6,TRUE
0x3c3f481950fa627bb9f39a04bccdc88f4130795b,TRUE
0xe3b0fe57f7de3281579a504dcc3af491afbb23e5,TRUE
0xde82658c23f034d71827c215fdfbce0d4e248ccd,TRUE
0x4c4757b23526ba13876f8ef3efe973618266e3e8,TRUE
0x99bab102c0a03438bcfd70119f07ee646db26ddf,TRUE
0x878e6c6f9a86a1e5d313e7b872ccd109135e91b4,TRUE
0x8d056569b215c8b56e4b3a615dac425d8d2352a4,TRUE
0xb389327f8325d9568826b0f3ca63ef613687cfab,FALSE
0xbd53a4db4003c59070abbfa4e6c31afbf0b26843,TRUE
0x96fa4b2bebbbc9ffdb7d64ed18058de27680752c,TRUE
0x064656852581472f9b315fea4730fe18fb7c579a,TRUE
0x38321bbb97a3541bb3913c12201b35d504f7af39,FALSE
0x1237b26652eebf1cb8f59e07e07101c0df4f60f6,TRUE
0x7b3c3a05fcbf18db060ef29250769cee961d75ac,TRUE
0x704079e823e42a936bbaac5163434c2515473836,TRUE
0x062e659a3c8991bc1739e72c68edb9ac7b5a8ca7,TRUE
0x11f4306f9812b80e75c1411c1cf296b04917b2f0,TRUE
0x175744fb0849584129fa3d0e6350c00206d95d2f,FALSE
0x1dabd43e0f8a684a02712bcd767056e25026061c,TRUE
0x85bc00724203d53536072b000c44a2cc16cd12c5,FALSE
